Scenario,Category,Violation,Number of Offense,Sanction
"Security caught a student attending a university meeting without an ID, preventing entry to the building.",Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student forgot to wear their ID while entering school campus.,Minor Offenses,Non-wearing or failure to bring University ID on campus or during official University activities outside the campus.,2nd Offense,Violation slip and a written warning issued by the SDO
"A student attended a lecture wearing heavily ripped jeans, which were deemed inappropriate.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student was found in worn-out cargo pants that were fraying at the seams during class.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was caught wearing leggings with multiple holes while in the cafeteria.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"During an event, a student was noticed wearing shorts with significant tears at the back.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student was stopped at the entrance for wearing jeans that were excessively torn and revealing.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student was seen in class wearing jeans with noticeable wear and tear, distracting others.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
"A student attended a workshop wearing a pair of torn pants, which violated the dress code.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student was reported for wearing ripped sweatpants that were not suitable for campus attire.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student entered the library in jeans that had a large rip, prompting a dress code check.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
"A student was seen in class wearing frayed shorts, which were not appropriate for the university setting.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
"A student was caught wearing heavily ripped bottoms during a university event, violating the dress code.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student was reminded of the dress code after wearing jeans with significant rips on campus.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was stopped at the entrance for wearing a sleeveless top that violated the dress code.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student attended a seminar in a dress with spaghetti straps, which were deemed inappropriate.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
"A student was found in a strapless dress during class, violating the university’s dress code.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student entered the cafeteria wearing a halter top, prompting a reminder of the dress code.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student was seen in a bare-shouldered dress during a formal event, which violated the guidelines.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student was caught wearing a sleeveless shirt while attending a lecture.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was reported for wearing a top with thin straps during a university meeting.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student attended a workshop in a tube top, which was not appropriate for the setting.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was reminded to dress appropriately after entering the library in a bare-shouldered top.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
"A student was found wearing a razor back top, which violated the university's dress code.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student was caught wearing a dress without sleeves at an official university function.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
"A student attended a campus event in a halter dress, prompting a dress code violation notice.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student was reported for wearing a top with a plunging neckline during class.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student attended a seminar in a dress with a plunging back, which was inappropriate.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was found wearing a top that exposed midriff during an academic meeting.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student was caught in a dress with a deep neckline during a university function.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
"A student entered the library wearing a top with a plunging neckline, violating dress code guidelines.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
"A student was seen in class wearing a top that revealed too much skin, leading to a dress code violation.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student was reminded about appropriate attire after wearing a plunging neckline shirt to a workshop.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
"A student was noticed in a backless dress during an official event, violating the dress code.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student was stopped at the entrance for wearing a top with a deep plunge during a formal event.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
"A student attended a lecture in a top with a plunging neckline, which drew attention from faculty.",Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student was seen wearing a dress with an exposed back during a university-sponsored event.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",3rd Offense,The student is charged with a Major Offense under Section VI.E.19.
A student was warned for wearing a plunging neckline at a career fair on campus.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
A student was caught wearing shorts that were significantly above the knee during class.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",1st Offense,Violation slip issued by the SDO
A student attended a meeting wearing a skirt that was deemed inappropriate due to its length.,Minor Offenses,"Wearing inappropriate attire within the University premises, such as but not limited to:
a. Torn, worn-out, or ripped jeans or bottoms
b. Bare-shouldered top or dress (e.g., sleeveless, spaghetti straps, razor back, tube, strapless, halter, etc.)
c. Top or dress with a plunging neckline, exposed back, and midriff
d. Shorts and skirt more than two (2) inches above the knee
e. Figure-hugging attire, crop top and the like.
f. See-through or sheer attire
g. Joggers, jogging pants, sweatpants, leggings, and the like h. Slippers, flip-flops, slip-ons, slides, and open shoes.
i. Cross-dressing",2nd Offense,Violation slip and a written warning issued by the SDO
